n,model,accuracy,macro_f1,top5_accuracy
75000,hoeffding_adaptive,0.1292550567340898,0.03987366861874893,0.4276990359871465
75000,adaptive_forest,0.19057587434499126,0.0812952605247504,0.5105934745796611
75000,active_naive_bayes,0.08976119681595755,0.0053375033363487895,0.28660382138428514
75000,active_hoeffding_tree,0.12064160855478073,0.04675865270832843,0.4163922185629142
75000,active_hoeffding_adaptive,0.12346831291083882,0.050523068752907616,0.4111121481619755
80000,baseline_no_change,0.17245215565194566,0.1340238799750914,0.18505
80000,baseline_prior,0.10205127564094552,0.005473665568325409,0.4166802085026063
80000,naive_bayes,0.07913848923111538,0.0024859280608308283,0.2898161227015338
80000,logistic_ovr,0.07913848923111538,0.0024859280608308283,0.2898161227015338
80000,hoeffding_tree,0.11981399767497093,0.045677990653338885,0.41658020725259065
80000,hoeffding_adaptive,0.12968912111401393,0.03998305178597387,0.42763034537931727
80000,adaptive_forest,0.19190239877998475,0.08140935582689796,0.5112688908611358
80000,active_naive_bayes,0.08840110501381267,0.0052278297548213086,0.2857785722321529
80000,active_hoeffding_tree,0.11981399767497093,0.045677990653338885,0.41658020725259065
80000,active_hoeffding_adaptive,0.1244140551756897,0.049788339674546794,0.4123801547519344
85000,baseline_no_change,0.17220202590618713,0.13404121266924593,0.18498823529411765
85000,baseline_prior,0.1010247179378581,0.005404166572055584,0.41474605583595103
85000,naive_bayes,0.0787421028482688,0.0024743855072656648,0.2933916869610231
85000,logistic_ovr,0.0787421028482688,0.0024743855072656648,0.2933916869610231
85000,hoeffding_tree,0.12076612666031365,0.0461176264149023,0.4207931858021859
85000,hoeffding_adaptive,0.129425052059436,0.03901894823235606,0.430922716737844
85000,adaptive_forest,0.1932493323450864,0.08103268250479372,0.5123589689290462
85000,active_naive_bayes,0.08624807350674714,0.0050833947158282124,0.284579818586101
85000,active_hoeffding_tree,0.12076612666031365,0.0461176264149023,0.4207931858021859
